Time,PacketsReceived,Distance
100.504,983,110.504
100.604,984,110.604
100.704,985,110.704
100.804,986,110.804
100.904,987,110.904
101.004,988,111.004
101.104,989,111.104
101.204,990,111.204
101.304,991,111.304
101.404,992,111.404
101.504,993,111.504
101.604,994,111.604
101.704,995,111.704
101.804,996,111.804
101.904,997,111.904
102.004,998,112.004
102.104,999,112.104
102.204,1000,112.204
102.304,1001,112.304
102.404,1002,112.404
102.504,1003,112.504
102.604,1004,112.604
102.704,1005,112.704
102.804,1006,112.804
102.904,1007,112.904
103.004,1008,113.004
103.104,1009,113.104
103.204,1010,113.204
103.304,1011,113.304
103.404,1012,113.404
103.504,1013,113.504
103.604,1014,113.604
103.704,1015,113.704
103.804,1016,113.804
103.904,1017,113.904
104.004,1018,114.004
104.104,1019,114.104
104.204,1020,114.204
104.304,1021,114.304
104.404,1022,114.404
104.504,1023,114.504
104.604,1024,114.604
104.704,1025,114.704
104.804,1026,114.804
104.904,1027,114.904
105.004,1028,115.004
105.104,1029,115.104
105.204,1030,115.204
105.304,1031,115.304
105.404,1032,115.404
105.504,1033,115.504
105.604,1034,115.604
105.704,1035,115.704
105.804,1036,115.804
105.904,1037,115.904
106.004,1038,116.004
106.104,1039,116.104
106.204,1040,116.204
106.304,1041,116.304
106.404,1042,116.404
106.504,1043,116.504
106.604,1044,116.604
106.704,1045,116.704
106.804,1046,116.804
106.904,1047,116.904
107.004,1048,117.004
107.104,1049,117.104
107.204,1050,117.204
107.304,1051,117.304
107.404,1052,117.404
107.504,1053,117.504
107.604,1054,117.604
107.704,1055,117.704
107.804,1056,117.804
107.904,1057,117.904
108.004,1058,118.004
108.104,1059,118.104
108.204,1060,118.204
108.304,1061,118.304
108.404,1062,118.404
108.504,1063,118.504
108.604,1064,118.604
108.704,1065,118.704
108.804,1066,118.804
108.904,1067,118.904
109.004,1068,119.004
109.104,1069,119.104
109.204,1070,119.204
109.304,1071,119.304
109.404,1072,119.404
109.504,1073,119.504
109.604,1074,119.604
109.704,1075,119.704
109.804,1076,119.804
109.904,1077,119.904
110.004,1078,120.004
110.104,1079,120.104
110.204,1080,120.204
110.304,1081,120.304
110.404,1082,120.404
110.504,1083,120.504
110.604,1084,120.604
110.704,1085,120.704
110.804,1086,120.804
110.904,1087,120.904
111.004,1088,121.004
111.104,1089,121.104
111.204,1090,121.204
111.304,1091,121.304
111.404,1092,121.404
111.504,1093,121.504
111.604,1094,121.604
111.704,1095,121.704
111.804,1096,121.804
111.904,1097,121.904
112.004,1098,122.004
112.104,1099,122.104
112.204,1100,122.204
112.304,1101,122.304
112.404,1102,122.404
112.504,1103,122.504
112.604,1104,122.604
112.704,1105,122.704
112.804,1106,122.804
112.904,1107,122.904
113.004,1108,123.004
113.104,1109,123.104
113.204,1110,123.204
113.304,1111,123.304
113.404,1112,123.404
113.504,1113,123.504
113.604,1114,123.604
113.704,1115,123.704
113.804,1116,123.804
113.904,1117,123.904
114.004,1118,124.004
114.104,1119,124.104
114.204,1120,124.204
114.304,1121,124.304
114.404,1122,124.404
114.504,1123,124.504
114.604,1124,124.604
114.704,1125,124.704
114.804,1126,124.804
114.904,1127,124.904
115.004,1128,125.004
115.104,1129,125.104
115.204,1130,125.204
115.304,1131,125.304
115.404,1132,125.404
115.504,1133,125.504
115.604,1134,125.604
115.704,1135,125.704
115.804,1136,125.804
115.904,1137,125.904
116.004,1138,126.004
116.104,1139,126.104
116.204,1140,126.204
116.304,1141,126.304
116.404,1142,126.404
116.504,1143,126.504
116.604,1144,126.604
116.704,1145,126.704
116.804,1146,126.804
116.904,1147,126.904
117.004,1148,127.004
117.204,1149,127.204
117.304,1150,127.304
117.404,1151,127.404
117.504,1152,127.504
117.604,1153,127.604
117.704,1154,127.704
117.804,1155,127.804
117.904,1156,127.904
118.004,1157,128.004
118.104,1158,128.104
118.204,1159,128.204
118.304,1160,128.304
118.404,1161,128.404
118.504,1162,128.504
118.604,1163,128.604
118.704,1164,128.704
118.804,1165,128.804
118.904,1166,128.904
119.004,1167,129.004
119.104,1168,129.104
119.204,1169,129.204
119.304,1170,129.304
119.404,1171,129.404
119.504,1172,129.504
119.604,1173,129.604
119.704,1174,129.704
119.804,1175,129.804
119.904,1176,129.904
120.004,1177,130.004
120.104,1178,130.104
120.204,1179,130.204
120.304,1180,130.304
120.404,1181,130.404
120.504,1182,130.504
120.604,1183,130.604
120.704,1184,130.704
120.804,1185,130.804
120.904,1186,130.904
121.004,1187,131.004
